level,count,percentage
90,707,6.52%
87,635,5.86%
88,589,5.43%
86,515,4.75%
89,507,4.68%
85,506,4.67%
84,436,4.02%
91,418,3.86%
80,396,3.65%
82,393,3.63%
81,391,3.61%
83,387,3.57%
79,322,2.97%
78,278,2.57%
92,275,2.54%
76,252,2.33%
77,246,2.27%
75,218,2.01%
74,217,2.00%
70,202,1.86%
73,201,1.85%
71,196,1.81%
72,186,1.72%
68,170,1.57%
93,170,1.57%
69,147,1.36%
66,119,1.10%
65,115,1.06%
67,114,1.05%
58,112,1.03%
64,107,0.99%
55,102,0.94%
57,98,0.90%
63,96,0.89%
60,93,0.86%
56,90,0.83%
94,88,0.81%
59,85,0.78%
61,85,0.78%
53,84,0.78%
50,83,0.77%
62,80,0.74%
54,79,0.73%
51,75,0.69%
52,73,0.67%
95,57,0.53%
96,19,0.18%
97,14,0.13%
100,4,0.04%
98,4,0.04%
99,2,0.02%
